workload,sample_id,condition,elapsed_seconds_ratio,input_tokens_ratio,output_tokens_ratio,packets_total_ratio,bytes_total_ratio,bytes_client_to_server_ratio,bytes_server_to_client_ratio
qa,conv-26::52,no_compression,1.000821919857671,1.0,1.0,1.9390243902439024,1.0270410816432658,1.0465729989444181,0.8363684818335259
qa,conv-26::52,longllmlingua_2x,1.0020940827320266,1.0,1.0,1.375,0.9912962708132654,1.0350393861475042,0.7566236041164879
qa,conv-26::52,longllmlingua_4x,0.9966600633938255,1.0,1.0,1.0819672131147542,0.9468947147062947,1.015489304109177,0.7456430619898522
qa,conv-26::55,no_compression,1.000684879473295,1.0,1.0,2.925,1.031204933334513,1.0466549944710652,0.6591968049700466
qa,conv-26::55,longllmlingua_2x,1.0049135656784387,1.0,1.0,1.588235294117647,0.9888264910921766,1.0320924533085438,0.5134633240482822
qa,conv-26::55,longllmlingua_4x,0.9920167052065343,1.0,1.0,1.3676470588235294,1.1721402547737785,1.045542059019148,1.529011249259917
qa,conv-26::62,no_compression,1.0050843028886773,1.0,1.0,2.3703703703703702,1.028622772080486,1.0476662354225734,0.7215976331360947
qa,conv-26::62,longllmlingua_2x,0.9984389163057709,1.0,1.0,1.4074074074074074,0.9892420091324201,1.032657037570418,0.7170738183749337
qa,conv-26::62,longllmlingua_4x,1.0004930093798194,1.0,1.0,1.0769230769230769,0.9468391213925529,1.0147990013387849,0.6952036441586281
qa,conv-26::66,no_compression,0.9976883002557932,1.0,1.0,1.8953488372093024,1.027601754314055,1.0474243663123466,0.8444817456986992
qa,conv-26::66,longllmlingua_2x,1.0024038424205037,1.0,1.0,1.25,0.9914631962270909,1.0386396387741377,0.827328029948526
qa,conv-26::66,longllmlingua_4x,0.9986344654329389,1.0,1.0,1.0444444444444445,0.9504343977825915,1.017152600170503,0.806657848324515
qa,conv-30::27,no_compression,0.9987574009715882,1.0,1.0,1.796875,1.016413165853551,1.0426925187488567,0.7656231816594903
qa,conv-30::27,longllmlingua_2x,0.9951578665425618,1.0,1.0,1.25,0.977212528904772,1.025687023893092,0.7724827056110684
qa,conv-30::27,longllmlingua_4x,0.9980003587303188,1.0,1.0,0.9516129032258065,0.9185621646532144,0.9991096949533761,0.728369108209781
qa,conv-30::77,no_compression,1.0003910011588888,1.0,1.0,1.8103448275862069,1.0146393250265409,1.0424983193790869,0.717470664928292
qa,conv-30::77,longllmlingua_2x,0.9984443222057965,1.0,1.0,1.2307692307692308,0.9710902355120402,1.0249776984834968,0.6871716892452309
qa,conv-30::77,longllmlingua_4x,1.0074096657454408,1.0,1.0,1.0,0.9242803283887108,1.0015555031817112,0.6955065587496512
qa,conv-41::53,no_compression,0.9994204300180726,1.0,1.0,3.0338983050847457,1.039139189529323,1.0504223253251186,0.7872816212438853
qa,conv-41::53,longllmlingua_2x,0.9979037141076784,1.0,1.0,1.75,1.0116837387964148,1.0409696280656164,0.7168937329700272
qa,conv-41::53,longllmlingua_4x,0.9990170673752014,1.0,1.0,1.2307692307692308,0.9708316646642637,1.0252272305694676,0.68608683589957
qa,conv-42::67,no_compression,0.9982648977171658,1.0,1.0,3.306122448979592,1.0390258289615704,1.0506608931973187,0.7165255000901063
qa,conv-42::67,longllmlingua_2x,0.9962107851109623,1.0,1.0,1.5576923076923077,0.9988683275155804,1.0347634329562365,0.7112898592358518
qa,conv-42::67,longllmlingua_4x,0.8740217616002258,1.0,1.0,1.9210526315789473,1.1766005955704448,1.0490998363338788,2.12328498627989
